date,fips,county,cases,deaths,tests,recovered,active_cases
2020-08-07,19153,Polk,10077,206,86386,7373,2498
2020-08-07,19193,Woodbury,3694,51,21367,3310,333
2020-08-07,19013,Black Hawk,3089,63,24379,2456,570
2020-08-07,19113,Linn,2289,87,33650,1781,421
2020-08-07,19103,Johnson,2036,16,24785,1480,540
2020-08-07,19049,Dallas,1854,35,17054,1401,418
2020-08-07,19021,Buena Vista,1792,12,7895,1731,49
2020-08-07,19163,Scott,1658,14,24400,1112,532
2020-08-07,19061,Dubuque,1636,31,20406,961,644
2020-08-07,19127,Marshall,1427,25,8343,1079,323
2020-08-07,19155,Pottawattamie,1288,26,15095,908,354
2020-08-07,19169,Story,1145,14,15533,868,263
2020-08-07,19179,Wapello,872,33,5779,772,67
2020-08-07,19139,Muscatine,841,48,6729,727,66
2020-08-07,19187,Webster,773,7,6807,486,280
2020-08-07,19047,Crawford,726,3,3641,679,44
2020-08-07,19167,Sioux,614,3,4187,505,106
2020-08-07,19033,Cerro Gordo,596,17,7988,321,258
2020-08-07,19181,Warren,548,1,7939,336,211
2020-08-07,19171,Tama,546,29,3224,457,60
2020-08-07,19099,Jasper,468,26,4796,358,84
2020-08-07,19197,Wright,459,1,3244,401,57
2020-08-07,19149,Plymouth,453,8,4047,345,100
2020-08-07,19115,Louisa,380,14,1828,352,14
2020-08-07,19059,Dickinson,377,4,3869,294,79
2020-08-07,19045,Clinton,364,3,5803,137,224
2020-08-07,19183,Washington,293,10,3111,268,15
2020-08-07,19015,Boone,246,2,3963,170,74
2020-08-07,19079,Hamilton,244,1,2582,225,18
2020-08-07,19069,Franklin,235,9,1764,176,50
2020-08-07,19017,Bremer,206,7,3488,108,91
2020-08-07,19039,Clarke,195,3,1504,138,54
2020-08-07,19063,Emmet,190,2,1531,119,69
2020-08-07,19027,Carroll,185,1,3334,163,21
2020-08-07,19165,Shelby,179,1,1616,141,37
2020-08-07,19083,Hardin,178,0,2580,99,79
2020-08-07,19041,Clay,177,1,2538,149,27
2020-08-07,19125,Marion,164,0,3383,135,29
2020-08-07,19005,Allamakee,155,4,2047,137,14
2020-08-07,19157,Poweshiek,154,8,2056,109,37
2020-08-07,19057,Des Moines,154,2,4362,99,53
2020-08-07,19097,Jackson,148,1,2647,65,82
2020-08-07,19011,Benton,146,1,3390,101,44
2020-08-07,19067,Floyd,145,2,2595,94,49
2020-08-07,19123,Mahaska,139,17,2066,109,13
2020-08-07,19141,O'Brien,135,2,1900,99,34
2020-08-07,19077,Guthrie,131,5,1746,97,29
2020-08-07,19031,Cedar,128,1,2440,93,34
2020-08-07,19105,Jones,127,2,2547,79,46
2020-08-07,19019,Buchanan,124,1,2896,63,60
2020-08-07,19081,Hancock,121,2,1797,101,18
2020-08-07,19087,Henry,119,3,2643,90,26
2020-08-07,19023,Butler,119,2,2237,103,14
2020-08-07,19151,Pocahontas,115,1,1192,105,9
2020-08-07,19121,Madison,114,2,2251,62,50
2020-08-07,19119,Lyon,109,2,1059,93,14
2020-08-07,19111,Lee,108,3,3008,53,52
2020-08-07,19043,Clayton,104,3,2211,78,23
2020-08-07,19091,Humboldt,104,1,1282,77,26
2020-08-07,19035,Cherokee,103,1,1685,89,13
2020-08-07,19085,Harrison,102,0,1585,81,21
2020-08-07,19055,Delaware,100,1,2359,83,16
2020-08-07,19173,Taylor,96,0,877,88,8
2020-08-07,19095,Iowa,94,1,2652,62,31
2020-08-07,19133,Monona,91,0,1159,79,12
2020-08-07,19191,Winneshiek,91,1,2289,60,30
2020-08-07,19145,Page,85,0,1890,67,18
2020-08-07,19129,Mills,85,0,2719,48,37
2020-08-07,19109,Kossuth,84,0,2007,49,35
2020-08-07,19025,Calhoun,83,2,1555,73,8
2020-08-07,19161,Sac,82,0,1699,69,13
2020-08-07,19065,Fayette,82,0,2643,59,23
2020-08-07,19101,Jefferson,81,0,1893,64,17
2020-08-07,19147,Palo Alto,80,0,1440,54,26
2020-08-07,19143,Osceola,79,0,628,69,10
2020-08-07,19131,Mitchell,78,0,1876,67,11
2020-08-07,19189,Winnebago,77,0,1558,45,32
2020-08-07,19075,Grundy,76,1,1819,47,28
2020-08-07,19175,Union,75,1,2129,38,36
2020-08-07,19135,Monroe,69,7,819,46,16
2020-08-07,19195,Worth,65,0,1119,27,38
2020-08-07,19117,Lucas,58,4,818,32,22
2020-08-07,19137,Montgomery,54,4,1327,33,17
2020-08-07,19037,Chickasaw,54,0,1634,47,7
2020-08-07,19051,Davis,53,1,806,42,10
2020-08-07,19029,Cass,51,1,1531,38,12
2020-08-07,19089,Howard,49,0,1268,37,12
2020-08-07,19007,Appanoose,49,3,1450,36,10
2020-08-07,19073,Greene,39,0,1234,33,6
2020-08-07,19071,Fremont,37,0,696,12,25
2020-08-07,19177,Van Buren,35,1,725,21,13
2020-08-07,19107,Keokuk,33,1,1074,22,10
2020-08-07,19093,Ida,29,0,888,23,6
2020-08-07,19009,Audubon,28,1,710,15,12
