fips,county,population,population_group,opening
19153,Polk,490161,large,2020-05-15
19113,Linn,226706,large,2020-05-15
19163,Scott,172943,mid-large,2020-05-15
19103,Johnson,151140,mid-large,2020-05-15
19013,Black Hawk,131228,mid-large,2020-05-15
19193,Woodbury,103107,mid-large,2020-05-15
19061,Dubuque,97311,mid-large,2020-05-15
19169,Story,97117,mid-large,2020-05-01
19049,Dallas,93453,mid-large,2020-05-15
19155,Pottawattamie,93206,mid-large,2020-05-01
19181,Warren,51466,mid-small,2020-05-01
19045,Clinton,46429,mid-small,2020-05-01
19139,Muscatine,42664,mid-small,2020-05-15
19033,Cerro Gordo,42450,mid-small,2020-05-01
19127,Marshall,39369,mid-small,2020-05-15
19057,Des Moines,38967,mid-small,2020-05-15
19099,Jasper,37185,mid-small,2020-05-15
19187,Webster,35904,mid-small,2020-05-01
19179,Wapello,34969,mid-small,2020-05-01
19167,Sioux,34855,mid-small,2020-05-01
19111,Lee,33657,mid-small,2020-05-01
19125,Marion,33253,mid-small,2020-05-01
19015,Boone,26234,mid-small,2020-05-01
19011,Benton,25645,mid-small,2020-05-15
19149,Plymouth,25177,mid-small,2020-05-01
19017,Bremer,25062,mid-small,2020-05-15
19123,Mahaska,22095,mid-small,2020-05-01
19183,Washington,21965,mid-small,2020-05-15
19019,Buchanan,21175,mid-small,2020-05-01
19105,Jones,20681,mid-small,2020-05-01
19027,Carroll,20165,mid-small,2020-05-01
19191,Winneshiek,19991,mid-small,2020-05-01
19087,Henry,19954,mid-small,2020-05-15
19065,Fayette,19650,small,2020-05-15
19021,Buena Vista,19620,small,2020-05-01
19097,Jackson,19439,small,2020-05-01
19031,Cedar,18627,small,2020-05-01
19157,Poweshiek,18504,small,2020-05-15
19101,Jefferson,18295,small,2020-05-01
19043,Clayton,17549,small,2020-05-01
19059,Dickinson,17258,small,2020-05-01
19055,Delaware,17011,small,2020-05-01
19171,Tama,16854,small,2020-05-15
19083,Hardin,16846,small,2020-05-01
19047,Crawford,16820,small,2020-05-01
19121,Madison,16338,small,2020-05-01
19095,Iowa,16184,small,2020-05-15
19041,Clay,16016,small,2020-05-01
19067,Floyd,15642,small,2020-05-01
19129,Mills,15109,small,2020-05-01
19145,Page,15107,small,2020-05-01
19109,Kossuth,14813,small,2020-05-01
19079,Hamilton,14773,small,2020-05-01
19023,Butler,14439,small,2020-05-01
19085,Harrison,14049,small,2020-05-01
19141,O'Brien,13753,small,2020-05-01
19005,Allamakee,13687,small,2020-05-15
19029,Cass,12836,small,2020-05-01
19197,Wright,12562,small,2020-05-01
19007,Appanoose,12426,small,2020-05-01
19175,Union,12241,small,2020-05-01
19075,Grundy,12232,small,2020-05-01
19037,Chickasaw,11933,small,2020-05-01
19119,Lyon,11755,small,2020-05-01
19165,Shelby,11454,small,2020-05-01
19035,Cherokee,11235,small,2020-05-01
19115,Louisa,11035,small,2020-05-15
19077,Guthrie,10689,small,2020-05-01
19081,Hancock,10630,small,2020-05-01
19131,Mitchell,10586,small,2020-05-01
19189,Winnebago,10354,small,2020-05-01
19107,Keokuk,10246,small,2020-05-01
19069,Franklin,10070,small,2020-05-01
19137,Montgomery,9917,small,2020-05-01
19161,Sac,9721,small,2020-05-01
19025,Calhoun,9668,small,2020-05-01
19091,Humboldt,9558,small,2020-05-01
19039,Clarke,9395,small,2020-05-01
19063,Emmet,9208,small,2020-05-01
19089,Howard,9158,small,2020-05-01
19051,Davis,9000,small,2020-05-01
19073,Greene,8888,small,2020-05-01
19147,Palo Alto,8886,small,2020-05-01
19133,Monona,8615,small,2020-05-01
19117,Lucas,8600,small,2020-05-01
19053,Decatur,7870,small,2020-05-01
19135,Monroe,7707,small,2020-05-01
19195,Worth,7381,small,2020-05-01
19001,Adair,7152,small,2020-05-01
19177,Van Buren,7044,small,2020-05-01
19071,Fremont,6960,small,2020-05-01
19093,Ida,6860,small,2020-05-01
19151,Pocahontas,6619,small,2020-05-01
19185,Wayne,6441,small,2020-05-01
19173,Taylor,6121,small,2020-05-01
19143,Osceola,5958,small,2020-05-01
19009,Audubon,5496,small,2020-05-01
19159,Ringgold,4894,small,2020-05-01
19003,Adams,3602,small,2020-05-01
