date,fips,county,cases,deaths
2021-04-19,19153,Polk,56090,605
2021-04-19,19113,Linn,20329,330
2021-04-19,19163,Scott,19153,235
2021-04-19,19013,Black Hawk,15567,306
2021-04-19,19193,Woodbury,14917,221
2021-04-19,19103,Johnson,14084,81
2021-04-19,19061,Dubuque,13168,203
2021-04-19,19049,Dallas,10907,96
2021-04-19,19155,Pottawattamie,10767,162
2021-04-19,19169,Story,10324,47
2021-04-19,19181,Warren,5569,86
2021-04-19,19045,Clinton,5383,90
2021-04-19,19033,Cerro Gordo,5233,86
2021-04-19,19187,Webster,5084,91
2021-04-19,19167,Sioux,5067,73
2021-04-19,19127,Marshall,4772,74
2021-04-19,19139,Muscatine,4615,96
2021-04-19,19057,Des Moines,4419,65
2021-04-19,19179,Wapello,4254,120
2021-04-19,19021,Buena Vista,4220,40
2021-04-19,19099,Jasper,4078,70
2021-04-19,19149,Plymouth,3974,79
2021-04-19,19111,Lee,3685,55
2021-04-19,19125,Marion,3548,75
2021-04-19,19105,Jones,2932,55
2021-04-19,19087,Henry,2864,37
2021-04-19,19017,Bremer,2794,60
2021-04-19,19027,Carroll,2792,52
2021-04-19,19047,Crawford,2621,40
2021-04-19,19015,Boone,2590,33
2021-04-19,19011,Benton,2503,55
2021-04-19,19183,Washington,2493,50
2021-04-19,19059,Dickinson,2425,43
2021-04-19,19123,Mahaska,2252,50
2021-04-19,19097,Jackson,2182,42
2021-04-19,19109,Kossuth,2131,63
2021-04-19,19041,Clay,2113,25
2021-04-19,19171,Tama,2067,71
2021-04-19,19055,Delaware,2033,39
2021-04-19,19141,O'Brien,1970,60
2021-04-19,19191,Winneshiek,1947,33
2021-04-19,19145,Page,1904,21
2021-04-19,19019,Buchanan,1889,31
2021-04-19,19031,Cedar,1845,23
2021-04-19,19065,Fayette,1830,41
2021-04-19,19197,Wright,1805,35
2021-04-19,19083,Hardin,1800,42
2021-04-19,19079,Hamilton,1782,49
2021-04-19,19085,Harrison,1767,73
2021-04-19,19043,Clayton,1670,55
2021-04-19,19023,Butler,1625,34
2021-04-19,19129,Mills,1588,20
2021-04-19,19035,Cherokee,1571,38
2021-04-19,19067,Floyd,1554,42
2021-04-19,19119,Lyon,1549,41
2021-04-19,19121,Madison,1543,19
2021-04-19,19157,Poweshiek,1528,33
2021-04-19,19005,Allamakee,1491,51
2021-04-19,19095,Iowa,1457,24
2021-04-19,19081,Hancock,1437,34
2021-04-19,19189,Winnebago,1362,31
2021-04-19,19075,Grundy,1354,32
2021-04-19,19029,Cass,1348,54
2021-04-19,19025,Calhoun,1332,11
2021-04-19,19101,Jefferson,1310,35
2021-04-19,19063,Emmet,1288,40
2021-04-19,19165,Shelby,1286,37
2021-04-19,19161,Sac,1274,19
2021-04-19,19115,Louisa,1272,49
2021-04-19,19007,Appanoose,1267,47
2021-04-19,19131,Mitchell,1252,41
2021-04-19,19175,Union,1241,32
2021-04-19,19037,Chickasaw,1226,15
2021-04-19,19091,Humboldt,1183,26
2021-04-19,19077,Guthrie,1180,29
2021-04-19,19069,Franklin,1129,21
2021-04-19,19147,Palo Alto,1110,22
2021-04-19,19089,Howard,1029,22
2021-04-19,19137,Montgomery,1006,37
2021-04-19,NA,Unknown,999,0
2021-04-19,19039,Clarke,983,24
2021-04-19,19107,Keokuk,948,30
2021-04-19,19135,Monroe,941,28
2021-04-19,19093,Ida,896,33
2021-04-19,19001,Adair,845,32
2021-04-19,19151,Pocahontas,837,21
2021-04-19,19133,Monona,812,30
2021-04-19,19051,Davis,799,24
2021-04-19,19073,Greene,767,10
2021-04-19,19143,Osceola,757,16
2021-04-19,19117,Lucas,749,23
2021-04-19,19195,Worth,711,8
2021-04-19,19173,Taylor,653,12
2021-04-19,19071,Fremont,614,10
2021-04-19,19053,Decatur,590,9
2021-04-19,19177,Van Buren,556,18
2021-04-19,19159,Ringgold,536,23
2021-04-19,19185,Wayne,521,23
