date,county,tests,cases,recovered,deaths
2020-05-28,Polk,22393,3920,1637,118
2020-05-28,Woodbury,10737,2668,1405,31
2020-05-28,Black Hawk,8833,1716,979,43
2020-05-28,Linn,8688,941,760,76
2020-05-28,Marshall,3388,882,498,15
2020-05-28,Dallas,4536,876,557,17
2020-05-28,Buena Vista,3906,701,58,0
2020-05-28,Johnson,6717,607,383,8
2020-05-28,Muscatine,2925,549,384,41
2020-05-28,Wapello,2225,542,218,4
2020-05-28,Crawford,1796,488,292,2
2020-05-28,Tama,1478,400,271,26
2020-05-28,Scott,5970,348,289,10
2020-05-28,Louisa,1042,336,238,10
2020-05-28,Dubuque,5047,331,154,17
2020-05-28,Jasper,1839,258,194,16
2020-05-28,Pottawattamie,2880,228,140,7
2020-05-28,Sioux,989,212,114,0
2020-05-28,Washington,1364,185,149,8
2020-05-28,Wright,1131,142,18,0
2020-05-28,Allamakee,791,120,88,4
2020-05-28,Plymouth,1024,119,78,1
2020-05-28,Warren,1854,115,85,0
2020-05-28,Story,2313,98,72,1
2020-05-28,Poweshiek,581,89,71,8
2020-05-28,Mahaska,715,88,18,8
2020-05-28,Bremer,785,67,58,6
2020-05-28,Henry,672,67,50,1
2020-05-28,Clinton,1442,60,57,1
2020-05-28,Des Moines,876,58,36,1
2020-05-28,Boone,1488,57,32,0
2020-05-28,Taylor,289,49,2,0
2020-05-28,Cedar,809,46,40,1
2020-05-28,Guthrie,467,46,29,3
2020-05-28,Clarke,414,44,16,0
2020-05-28,Benton,901,39,33,1
2020-05-28,Monroe,259,38,14,4
2020-05-28,Jones,707,36,36,0
2020-05-28,Iowa,669,35,30,0
2020-05-28,Shelby,291,34,25,0
2020-05-28,Osceola,179,32,26,0
2020-05-28,Webster,1427,31,14,1
2020-05-28,Buchanan,692,31,25,0
2020-05-28,Clayton,621,31,26,3
2020-05-28,Marion,852,30,20,0
2020-05-28,Hamilton,977,29,9,0
2020-05-28,O'Brien,405,27,14,0
2020-05-28,Fayette,751,26,26,0
2020-05-28,Madison,472,26,19,1
2020-05-28,Cerro Gordo,2379,25,15,1
2020-05-28,Lee,603,24,18,0
2020-05-28,Cherokee,422,24,9,0
2020-05-28,Monona,353,24,16,0
2020-05-28,Winneshiek,694,23,20,0
2020-05-28,Davis,302,20,11,0
2020-05-28,Grundy,429,19,12,0
2020-05-28,Harrison,396,19,17,0
2020-05-28,Jefferson,370,19,10,0
2020-05-28,Lyon,261,19,18,0
2020-05-28,Floyd,725,18,10,1
2020-05-28,Sac,524,17,8,0
2020-05-28,Mills,1148,16,12,0
2020-05-28,Hardin,507,16,9,0
2020-05-28,Dickinson,317,16,6,0
2020-05-28,Delaware,562,15,13,0
2020-05-28,Butler,539,15,12,0
2020-05-28,Hancock,464,15,4,0
2020-05-28,Humboldt,297,15,11,0
2020-05-28,Keokuk,394,14,11,0
2020-05-28,Appanoose,342,14,7,3
2020-05-28,Ida,272,14,9,0
2020-05-28,Clay,358,13,10,0
2020-05-28,Greene,316,13,13,0
2020-05-28,Howard,309,12,10,0
2020-05-28,Emmet,254,12,4,0
2020-05-28,Audubon,209,12,8,1
2020-05-28,Page,525,11,9,0
2020-05-28,Jackson,509,11,8,0
2020-05-28,Cass,355,11,2,0
2020-05-28,Winnebago,334,11,9,0
2020-05-28,Franklin,556,10,5,0
2020-05-28,Kossuth,372,10,3,0
2020-05-28,Pocahontas,248,10,2,0
2020-05-28,Carroll,558,9,7,0
2020-05-28,Van Buren,164,9,8,0
2020-05-28,Chickasaw,344,8,8,0
2020-05-28,Lucas,198,8,1,0
2020-05-28,Adair,196,8,3,0
2020-05-28,Adams,106,7,1,0
2020-05-28,Union,395,6,1,0
2020-05-28,Montgomery,263,6,5,0
2020-05-28,Mitchell,341,5,4,0
2020-05-28,Ringgold,155,4,1,0
2020-05-28,Fremont,129,4,2,0
2020-05-28,Worth,276,3,3,0
2020-05-28,Palo Alto,151,3,2,0
2020-05-28,Calhoun,279,2,1,0
2020-05-28,Decatur,205,1,0,0
2020-05-28,Wayne,118,1,1,0
