date,fips,county,tests,cases,recovered,deaths
2021-01-10,19153,Polk,226756,43800,37499,426
2021-01-10,19113,Linn,97915,17298,15434,264
2021-01-10,19163,Scott,72402,14960,12921,155
2021-01-10,19013,Black Hawk,58787,13288,11789,225
2021-01-10,19193,Woodbury,50913,12728,11384,173
2021-01-10,19103,Johnson,66811,11675,10288,49
2021-01-10,19061,Dubuque,49000,11083,9914,142
2021-01-10,19155,Pottawattamie,40671,8720,7441,104
2021-01-10,19049,Dallas,44785,8483,7150,67
2021-01-10,19169,Story,46912,8391,7485,32
2021-01-10,19187,Webster,18872,4585,4058,67
2021-01-10,19033,Cerro Gordo,20356,4516,3985,64
2021-01-10,19167,Sioux,13614,4471,4040,48
2021-01-10,19045,Clinton,18364,4349,3748,61
2021-01-10,19127,Marshall,17395,4189,3794,59
2021-01-10,19181,Warren,23030,4124,3298,37
2021-01-10,19021,Buena Vista,13121,3849,3380,28
2021-01-10,19139,Muscatine,18030,3745,3240,75
2021-01-10,19057,Des Moines,17780,3717,3248,38
2021-01-10,19149,Plymouth,11537,3453,3083,65
2021-01-10,19179,Wapello,14101,3290,2791,93
2021-01-10,19111,Lee,13347,3056,2556,28
2021-01-10,19099,Jasper,14893,3049,2522,55
2021-01-10,19125,Marion,12871,2908,2313,51
2021-01-10,19105,Jones,8381,2665,2463,49
2021-01-10,19087,Henry,9384,2579,2299,29
2021-01-10,19027,Carroll,9818,2483,2153,32
2021-01-10,19017,Bremer,9769,2357,2130,47
2021-01-10,19047,Crawford,7593,2239,1930,22
2021-01-10,19015,Boone,11287,2088,1651,15
2021-01-10,19183,Washington,9923,2069,1621,30
2021-01-10,19011,Benton,10561,2048,1861,41
2021-01-10,19097,Jackson,7517,1856,1664,31
2021-01-10,19123,Mahaska,8729,1847,1443,35
2021-01-10,19171,Tama,7131,1827,1590,57
2021-01-10,19059,Dickinson,8901,1808,1589,21
2021-01-10,19055,Delaware,6721,1689,1530,35
2021-01-10,19141,O'Brien,5692,1658,1457,54
2021-01-10,19109,Kossuth,6524,1633,1413,35
2021-01-10,19041,Clay,7053,1619,1412,17
2021-01-10,19197,Wright,6926,1585,1412,22
2021-01-10,19079,Hamilton,6328,1539,1309,26
2021-01-10,19019,Buchanan,7851,1536,1317,19
2021-01-10,19065,Fayette,7595,1517,1182,22
2021-01-10,19083,Hardin,7009,1515,1331,29
2021-01-10,19085,Harrison,5531,1506,1222,60
2021-01-10,19043,Clayton,5855,1475,1254,47
2021-01-10,19191,Winneshiek,8239,1471,1195,19
2021-01-10,19031,Cedar,7511,1454,1237,19
2021-01-10,19145,Page,5181,1419,1287,14
2021-01-10,19023,Butler,5818,1402,1151,23
2021-01-10,19067,Floyd,6488,1343,1174,36
2021-01-10,19129,Mills,6732,1337,1189,15
2021-01-10,19035,Cherokee,5081,1326,1079,25
2021-01-10,19119,Lyon,3889,1311,1142,30
2021-01-10,19157,Poweshiek,7089,1281,1093,24
2021-01-10,19081,Hancock,4975,1254,1008,24
2021-01-10,19005,Allamakee,5049,1241,1007,26
2021-01-10,19025,Calhoun,4644,1206,1132,9
2021-01-10,19095,Iowa,6802,1193,1045,22
2021-01-10,19075,Grundy,4803,1167,948,21
2021-01-10,19101,Jefferson,6333,1155,847,23
2021-01-10,19189,Winnebago,5130,1150,1012,29
2021-01-10,19115,Louisa,4604,1122,942,27
2021-01-10,19131,Mitchell,4781,1116,903,33
2021-01-10,19029,Cass,5292,1101,898,40
2021-01-10,19121,Madison,6185,1095,832,9
2021-01-10,19037,Chickasaw,4477,1087,961,11
2021-01-10,19161,Sac,4546,1081,970,14
2021-01-10,19063,Emmet,4280,1078,880,29
2021-01-10,19175,Union,5658,1062,932,20
2021-01-10,19007,Appanoose,4980,1048,874,37
2021-01-10,19091,Humboldt,4035,1019,858,18
2021-01-10,19077,Guthrie,4774,1001,840,23
2021-01-10,19165,Shelby,4411,990,845,26
2021-01-10,19069,Franklin,4321,980,801,17
2021-01-10,19147,Palo Alto,3814,877,747,9
2021-01-10,NA,Pending Investigation,9709,845,411,0
2021-01-10,19107,Keokuk,3435,828,726,25
2021-01-10,19137,Montgomery,3629,813,611,22
2021-01-10,19089,Howard,3671,795,614,18
2021-01-10,19135,Monroe,2791,769,503,18
2021-01-10,19151,Pocahontas,3054,762,635,11
2021-01-10,19039,Clarke,3912,737,550,7
2021-01-10,19093,Ida,2719,724,634,30
2021-01-10,19051,Davis,2692,678,570,20
2021-01-10,19073,Greene,3562,668,589,7
2021-01-10,19001,Adair,3028,655,502,20
2021-01-10,19117,Lucas,3167,635,396,8
2021-01-10,19143,Osceola,2077,628,588,9
2021-01-10,19133,Monona,3148,594,505,16
2021-01-10,19173,Taylor,2172,580,497,9
2021-01-10,19195,Worth,3089,574,435,3
2021-01-10,19071,Fremont,2261,484,428,5
2021-01-10,19177,Van Buren,2259,479,415,12
2021-01-10,19053,Decatur,2839,462,378,4
2021-01-10,19185,Wayne,1885,411,329,21
2021-01-10,19159,Ringgold,1991,402,319,9
2021-01-10,19009,Audubon,2124,398,325,8
2021-01-10,19003,Adams,1321,288,212,3
